

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          17/05/2015    Temperatura máxima (ºC)                   30,9
      1          18/05/2015    Temperatura máxima (ºC)                   25,2
      1          19/05/2015    Temperatura máxima (ºC)                   18,3
      1          20/05/2015    Temperatura máxima (ºC)                   18,4
      1          21/05/2015    Temperatura máxima (ºC)                   22,9
      1          22/05/2015    Temperatura máxima (ºC)                   24,8
      1          23/05/2015    Temperatura máxima (ºC)                   26,7
      1          24/05/2015    Temperatura máxima (ºC)                   27,7
      1          25/05/2015    Temperatura máxima (ºC)                   28,1
      1          26/05/2015    Temperatura máxima (ºC)                   29,4
      1          27/05/2015    Temperatura máxima (ºC)                   31,5
      1          28/05/2015    Temperatura máxima (ºC)                   31,4
      1          29/05/2015    Temperatura máxima (ºC)                   28,4
      1          30/05/2015    Temperatura máxima (ºC)                   27,4
      1          31/05/2015    Temperatura máxima (ºC)                   25,9
      1          01/06/2015    Temperatura máxima (ºC)                   27,7
      1          02/06/2015    Temperatura máxima (ºC)                   30,9
      1          03/06/2015    Temperatura máxima (ºC)                   33,5
      1          04/06/2015    Temperatura máxima (ºC)                   35,3
      1          05/06/2015    Temperatura máxima (ºC)                   32,2
      1          06/06/2015    Temperatura máxima (ºC)                   32
      1          07/06/2015    Temperatura máxima (ºC)                   37,5
      1          08/06/2015    Temperatura máxima (ºC)                   34,6
      1          09/06/2015    Temperatura máxima (ºC)                   29,1
      1          10/06/2015    Temperatura máxima (ºC)                   27,1
      1          11/06/2015    Temperatura máxima (ºC)                   24,7
      1          12/06/2015    Temperatura máxima (ºC)                   19,2
      1          13/06/2015    Temperatura máxima (ºC)                   19,6
      1          14/06/2015    Temperatura máxima (ºC)                   22,4
      1          15/06/2015    Temperatura máxima (ºC)                   25,7
      1          16/06/2015    Temperatura máxima (ºC)                   28,6
      1          17/06/2015    Temperatura máxima (ºC)                   31,7
      1          18/06/2015    Temperatura máxima (ºC)                   35,1
      1          19/06/2015    Temperatura máxima (ºC)                   34,9
      1          20/06/2015    Temperatura máxima (ºC)                   37
      1          21/06/2015    Temperatura máxima (ºC)                   37,9
      1          22/06/2015    Temperatura máxima (ºC)                   28,7
      1          23/06/2015    Temperatura máxima (ºC)                   23,8
      1          24/06/2015    Temperatura máxima (ºC)                   31
      1          25/06/2015    Temperatura máxima (ºC)                   33,6
      1          26/06/2015    Temperatura máxima (ºC)                   33,7
      1          27/06/2015    Temperatura máxima (ºC)                   35,4
      1          28/06/2015    Temperatura máxima (ºC)                   38
      1          29/06/2015    Temperatura máxima (ºC)                   40,1
      1          30/06/2015    Temperatura máxima (ºC)                   35,4
      1          01/07/2015    Temperatura máxima (ºC)                   27,3
      1          02/07/2015    Temperatura máxima (ºC)                   29,7
      1          03/07/2015    Temperatura máxima (ºC)                   30,9
      1          04/07/2015    Temperatura máxima (ºC)                   30,8
      1          05/07/2015    Temperatura máxima (ºC)                   31,8
      1          06/07/2015    Temperatura máxima (ºC)                   35,7
      1          07/07/2015    Temperatura máxima (ºC)                   32,6
      1          08/07/2015    Temperatura máxima (ºC)                   31,5
      1          09/07/2015    Temperatura máxima (ºC)                   39,8
      1          10/07/2015    Temperatura máxima (ºC)                   29,7
      1          11/07/2015    Temperatura máxima (ºC)                   34
      1          12/07/2015    Temperatura máxima (ºC)                   35,7
      1          13/07/2015    Temperatura máxima (ºC)                   36,7
      1          14/07/2015    Temperatura máxima (ºC)                   38,5
